-,-,-,-,-,-,-,-,-,-,-,0,5,0,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,0,5,10,15,10,5,0,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,0,5,10,15,20,25,20,15,10,5,0,-,-,-,-,-,-,-
-,-,-,-,-,0,5,10,15,20,25,30,35,30,25,20,15,10,5,0,-,-,-,-,-
-,-,-,-,0,5,10,15,20,25,30,35,40,35,30,25,20,15,10,5,0,-,-,-,-
-,-,-,0,5,10,15,20,25,30,35,40,45,40,35,30,25,20,15,10,5,0,-,-,-
-,-,-,5,10,15,20,25,30,35,40,45,45,45,40,35,30,25,20,15,10,5,-,-,-
-,-,0,10,15,20,25,30,35,40,45,45,50,45,45,40,35,30,25,20,15,10,0,-,-
-,-,5,15,20,25,30,35,40,45,45,50,50,50,45,45,40,35,30,25,20,15,5,-,-
-,0,10,20,25,30,35,40,45,45,50,50,55,50,50,45,45,40,35,30,25,20,10,0,-
-,5,15,25,30,35,40,45,45,50,50,55,55,55,50,50,45,45,40,35,30,25,15,5,-
0,10,20,30,35,40,45,45,50,50,55,55,60,55,55,50,50,45,45,40,35,30,20,10,0
5,15,25,35,40,45,45,50,50,55,55,60,60,60,55,55,50,50,45,45,40,35,25,15,5
0,10,20,30,35,40,45,45,50,50,55,55,60,55,55,50,50,45,45,40,35,30,20,10,0
-,5,15,25,30,35,40,45,45,50,50,55,55,55,50,50,45,45,40,35,30,25,15,5,-
-,0,10,20,25,30,35,40,45,45,50,50,55,50,50,45,45,40,35,30,25,20,10,0,-
-,-,5,15,20,25,30,35,40,45,45,50,50,50,45,45,40,35,30,25,20,15,5,-,-
-,-,0,10,15,20,25,30,35,40,45,45,50,45,45,40,35,30,25,20,15,10,0,-,-
-,-,-,5,10,15,20,25,30,35,40,45,45,45,40,35,30,25,20,15,10,5,-,-,-
-,-,-,0,5,10,15,20,25,30,35,40,45,40,35,30,25,20,15,10,5,0,-,-,-
-,-,-,-,0,5,10,15,20,25,30,35,40,35,30,25,20,15,10,5,0,-,-,-,-
-,-,-,-,-,0,5,10,15,20,25,30,35,30,25,20,15,10,5,0,-,-,-,-,-
-,-,-,-,-,-,-,0,5,10,15,20,25,20,15,10,5,0,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,0,5,10,15,10,5,0,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,0,5,0,-,-,-,-,-,-,-,-,-,-,-
