-,-,-,-,-,-,-,0,5,0,-,-,-,-,-,-,-
-,-,-,-,-,0,5,10,15,10,5,0,-,-,-,-,-
-,-,-,0,5,10,15,20,25,20,15,10,5,0,-,-,-
-,-,0,10,15,20,25,30,35,30,25,20,15,10,0,-,-
-,-,5,15,20,30,35,40,45,40,35,30,20,15,5,-,-
-,0,10,20,30,40,45,50,55,50,45,40,30,20,10,0,-
-,5,15,25,35,45,50,60,65,60,50,45,35,25,15,5,-
0,10,20,30,40,50,60,70,75,70,60,50,40,30,20,10,0
5,15,25,35,45,55,65,75,80,75,65,55,45,35,25,15,5
0,10,20,30,40,50,60,70,75,70,60,50,40,30,20,10,0
-,5,15,25,35,45,50,60,65,60,50,45,35,25,15,5,-
-,0,10,20,30,40,45,50,55,50,45,40,30,20,10,0,-
-,-,5,15,20,30,35,40,45,40,35,30,20,15,5,-,-
-,-,0,10,15,20,25,30,35,30,25,20,15,10,0,-,-
-,-,-,0,5,10,15,20,25,20,15,10,5,0,-,-,-
-,-,-,-,-,0,5,10,15,10,5,0,-,-,-,-,-
-,-,-,-,-,-,-,0,5,0,-,-,-,-,-,-,-
